dataset,variant,S,G,point_kind,num_monitored,monitored_symbolic,monitored_persistence,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN
HAI,without_geco_ignored,0.1,9.0,grid,47,45,2,2.902406538215075,96.69162847881972,5.635647047327449,0.9362391017210951,98.01841734206552,1.854762136566864,17908.0,100.0,8651,289412,103641,296
HAI,without_geco_ignored,0.1,10.0,grid,47,45,2,2.893319487249693,96.84810551022689,5.618778977401679,0.9003986085098205,98.0922537420107,1.7844178669374595,17638.0,100.0,8665,290818,102235,282
HAI,without_geco_ignored,0.1,12.0,grid,47,45,2,2.8840763824162554,97.18341343467084,5.601907032181168,0.861307398406336,98.211699156209,1.7076389631250055,17258.0,100.0,8695,292788,100265,252
HAI,without_geco_ignored,0.1,15.0,grid,47,45,2,2.874808329623584,97.4404828434112,5.584845708867976,0.7765788387187396,98.34470352691284,1.540989257531022,16932.0,100.0,8718,294537,98516,229
HAI,without_geco_ignored,0.1,20.0,grid,47,45,2,2.868365612427725,97.69755225215155,5.573106779093677,0.6868308674330159,98.4620325887529,1.3641460102472167,16673.0,100.0,8741,295997,97056,206
HAI,without_geco_ignored,0.1,25.0,grid,47,45,2,2.867256868787992,97.95462166089192,5.571430841849303,0.614118684121119,98.62188357984208,1.2206364623294128,16522.0,100.0,8764,296894,96159,183
HAI,without_geco_ignored,0.2,0.1,grid,47,45,2,4.738694662868228,86.82239856935286,8.986892187373464,1.8633358844587584,93.390260891826,3.653771201677706,21404.0,100.0,7768,156159,236894,1179
HAI,without_geco_ignored,0.2,0.5,grid,47,45,2,4.325169075286149,88.77836146194255,8.24848255128691,1.7441915059761788,94.35003537472564,3.425065909390177,17060.0,100.0,7943,175703,217350,1004
HAI,without_geco_ignored,0.2,1.0,grid,47,45,2,4.105539074247166,90.33195484519952,7.854112913805922,1.7668388840822182,95.07159727529844,3.4692050284938567,14327.0,100.0,8082,188774,204279,865
HAI,without_geco_ignored,0.2,1.5,grid,47,45,2,3.999156627096786,91.15904772549456,7.662172953168303,1.7026502446406813,95.49018485895682,3.3456455187789604,13558.0,100.0,8156,195787,197266,791
HAI,without_geco_ignored,0.2,2.0,grid,47,45,2,3.9226366233791055,91.76260198949367,7.523654608352998,1.6662891839700509,95.77131624605418,3.2755876479329364,12983.0,100.0,8210,201088,191965,737
HAI,without_geco_ignored,0.2,2.5,grid,47,45,2,3.860430934002406,92.17614842964124,7.410502480051758,1.5444626418280407,96.02259135019024,3.040028350636097,12584.0,100.0,8247,205382,187671,700
HAI,without_geco_ignored,0.2,3.0,grid,47,45,2,3.80967719669604,92.53381021571477,7.318064898215343,1.4843534999045016,96.19739705972378,2.923595086886563,12292.0,100.0,8279,209036,184017,668
HAI,without_geco_ignored,0.2,3.5,grid,47,45,2,3.761181308343421,92.72381803956632,7.229125638299726,1.4862681341898798,96.29327657128005,2.927353137831092,12046.0,100.0,8296,212273,180780,651
HAI,without_geco_ignored,0.2,4.0,grid,47,45,2,3.716991513860992,92.86911814015872,7.147895805374901,1.4697562720228363,96.36575038141642,2.895353044636068,11837.0,100.0,8309,215232,177821,638
HAI,without_geco_ignored,0.2,4.5,grid,47,45,2,3.683421949376152,93.14854141052868,7.086614173228346,1.3721589871844673,96.50242320845187,2.705843832382864,11665.0,100.0,8334,217923,175130,613
HAI,without_geco_ignored,0.2,5.0,grid,47,45,2,3.650059457190823,93.31619537275064,7.025323645359576,1.299408655358541,96.58410115456915,2.5643178765039165,11507.0,100.0,8349,220387,172666,598
